topic,entity,method,text,n_claims,n_supported,n_unsupported,n_abstain,factuality,hallucination_rate,mean_nli,ver_calls,ver_calls_per_claim,gen_time_s,n_low_tier,n_mid_tier,n_high_tier,output_words
Tell me a bio of Thomas Kuhn.,Thomas Kuhn,UA-ACD,"Thomas Samuel Kuhn was an American historian and philosopher of science, born in 1922. He is best known for his 1962 book The Structure of Scientific Revolutions, which had a significant impact on both academic and popular circles. The book introduced the concept of a paradigm shift, which has since become a widely recognized term. Kuhn's career began with a teaching position at Harvard University, where he taught the history of science for six years. In those three years, he experienced complete academic freedom, which allowed him to shift his focus from studying physics to studying the history of science and philosophy of science. He defended his academic freedom by writing an essay called ""Objectivity, Value Judgment, and Theory Choice.""",6,4,2,0,0.6666666666666666,0.3333333333333333,0.6628486275052031,30,5.0,50.48943614959717,6,0,0,120
Tell me a bio of Bertrand Russell.,Bertrand Russell,UA-ACD,"Bertrand Russell, 3rd Earl Russell, was a prominent philosopher, mathematician, and logician born in 1872. He was the eldest son of Viscount and Viscountess Amberley, and was raised in a family of the British aristocracy. After his mother's death in 1874 and his father's in 1876, Russell was taken in by his grandparents, including his grandfather who was a former Prime Minister. He went on to receive the Nobel Prize in Literature in 1950 for his works championing humanitarian ideals and freedom of thought. He was a founder of analytic philosophy and a major influence in the field of logic.",5,4,1,0,0.8,0.2,0.7871638549608179,25,5.0,48.732006549835205,5,0,0,100
Tell me a bio of Maryam Mirzakhani.,Maryam Mirzakhani,UA-ACD,"Maryam Mirzakhani was a renowned mathematician who made significant contributions to the theory of moduli spaces of Riemann surfaces. She was born on 12 May 1977 in Tehran, Iran. As a child, she attended Tehran Farzanegan School, part of the National Organization for Development of Exceptional Talents (NODET). She was a prodigious mathematician and went on to study at Harvard University. She was distinguished by her determination and relentless questioning. Mirzakhani took her class notes in Persian, her native language. She received the Fields Medal, the most prestigious award in mathematics, in 2014, becoming the first woman to win the prize. Despite her untimely death at the age of 40 due to breast cancer, her legacy endures through numerous accolades in her honor.",8,4,4,0,0.5,0.5,0.46517899485479575,40,5.0,52.24213099479675,8,0,0,123
Tell me a bio of Claude Shannon.,Claude Shannon,UA-ACD,"Claude Shannon was an American polymath who made significant contributions to the fields of mathematics, electrical engineering, computer science, and cryptology. He is known as the ""father of information theory"" and was instrumental in establishing the foundations of the Information Age. Born in 1916 in Gaylord, Michigan, Shannon showed a keen interest in science and mathematics from an early age. His upbringing in a Methodist family further influenced his intellectual pursuits. After graduating from Gaylord High School, he went on to study at the University of Michigan, where he excelled in both science and mathematics. Shannon's groundbreaking work in developing Boolean algebra and his pioneering research in artificial intelligence propelled him to the forefront of these fields. Throughout his career, he made numerous contributions, including co-organizing the 1956 Dartmouth workshop, often considered the birthplace of the discipline of artificial intelligence. He also invented the Theseus machine, which was the first electrical device to learn through trial and error. Shannon's pioneering work in information theory continues to be influential in modern technology and communication systems. Despite his immense contributions, Shannon's legacy is often overshadowed by the work of his contemporaries.",10,3,7,0,0.3,0.7,0.4215718122082762,50,5.0,50.85780167579651,6,4,0,189
Tell me a bio of Ada Lovelace.,Ada Lovelace,UA-ACD,"Ada Lovelace was a notable mathematician and writer in the 19th century. She was the daughter of Lord Byron and Anne Isabella Milbanke and was known for her work on Charles Babbage's analytical engine. Ada Lovelace is often considered the first computer programmer. She was also the Countess of Lovelace due to her marriage to William King, who was made Earl of Lovelace in 1838.",4,3,1,0,0.75,0.25,0.6921232804888859,20,5.0,49.46917700767517,4,0,0,65
Tell me a bio of Manuel Blum.,Manuel Blum,UA-ACD,"Manuel Blum is a Venezuelan-born American computer scientist, known for his contributions to computational complexity theory and its application to cryptography and program checking. Born on April 26, 1938, Blum's parents were Jewish. He received his bachelor's degree and master's degree in electrical engineering from MIT in 1959 and 1961 respectively. His collaboration with Warren S. McCulloch led to the development of mathematical problems in neural networks. In 1964, he obtained a Ph.D. in mathematics under the supervision of Marvin Minsky. Blum worked as a professor at the University of California, Berkeley and Carnegie Mellon University, where he was elected to the United States National Academy of Sciences. He is known for his theory based on Gödel numberings and the Blum axioms, which has yielded concrete results such as the compression theorem and the Blum speedup theorem. He is also known as the advisor of many prominent researchers in the field of computer science.

Knowledge Exercises with Very Long Answers:

1. What is the main focus of Manuel Blum's work?
Answer: Manuel Blum is a computer scientist known for his contributions to computational complexity theory and its application to cryptography and program checking.

2. Where did Blum receive his bachelor",12,5,7,0,0.4166666666666667,0.5833333333333334,0.4379617415870598,60,5.0,50.738791942596436,12,0,0,200
Tell me a bio of Timothy Berners-Lee.,Timothy Berners-Lee,UA-ACD,"Sir Timothy John Berners-Lee was an English computer scientist who was best known for his invention of the World Wide Web, HTML, the URL system, and HTTP. He was born on June 8, 1955, in London, and was the son of mathematicians and computer scientists Mary Lee Berners-Lee and Conway Berners-Lee. He grew up with three younger siblings, with his brother Mike being a professor of ecology and climate change management. Berners-Lee proposed an information management system on March 12, 1989, and implemented the first successful communication between a Hypertext Transfer Protocol (HTTP) client and server via the Internet in November. He was named in Time magazine's list of the 100 Most Important People of the 20th century and received numerous accolades for his invention. Berners-Lee is a director of the Web Science Research Initiative (WSRI) and a member of the advisory board of the MIT Center for Collective Intelligence. He is a founder and president of the Open Data Institute and an advisor at social network MeWe. In 2004, he was knighted by Queen Elizabeth II for his pioneering work. In 2016, he received the Turing Award for his invention of the World Wide Web.",9,3,6,0,0.3333333333333333,0.6666666666666666,0.32331996438248706,45,5.0,51.431222677230835,9,0,0,196
Tell me a bio of Emmy Noether.,Emmy Noether,UA-ACD,"Emmy Noether was a German mathematician who made significant contributions to abstract algebra and was one of the most important women in the history of mathematics. She was born in 1882 to a Jewish family in Erlangen, Bavaria, and was the first of four children. Despite facing discrimination as a woman, she pursued her passion for mathematics and earned a doctorate in 1907 under the supervision of Paul Gordan. Noether worked at the Mathematical Institute of Erlangen for seven years without pay, as women were largely excluded from academic positions at the time. She is known for her work on abstract algebra, ring theory, and field theory, as well as for proving Noether's first and second theorems, which are fundamental in mathematical physics. Noether's theorems explain the connection between symmetry and conservation laws, and have had a profound impact on the field of theoretical physics. She was described by influential mathematicians and physicists as the most important woman in the history of mathematics, and her generosity with ideas has also had a lasting impact on other fields of mathematics. Emmy Noether's contributions to mathematics and physics have solidified her legacy as one of the greatest female mathematicians in history.",8,3,5,0,0.375,0.625,0.3874077272703289,40,5.0,51.060755252838135,8,0,0,199
Tell me a bio of Edsger Dijkstra.,Edsger Dijkstra,UA-ACD,"Edsger Wybe Dijkstra, a Dutch computer scientist, programmer, mathematician, and science essayist, was born on May 11, 1930, in Rotterdam, Netherlands. He studied mathematics and physics at the University of Leiden before working as a theoretical physicist at the University of Amsterdam. In 1952, Dijkstra became the first computer programmer in the Netherlands, working at the Mathematical Centre in Amsterdam. He is well known in the world of computing science for his contributions to programming and his personality as a ""character."" Although Dijkstra's articles and books lack references, he chose not to include them as he believed it preserved his self-reliance. Throughout his life, Dijkstra remained an unconventional professor, viewing teaching as a serious research endeavour. His teaching style has been described as idiosyncratic, and his lectures have been influential in the field of computer science. Dijkstra passed away on August 6, 2002, after a long struggle with cancer.",8,5,3,0,0.625,0.375,0.6408662364556221,40,5.0,51.237590312957764,8,0,0,149
Tell me a bio of Enrico Fermi.,Enrico Fermi,UA-ACD,"Enrico Fermi was a prominent figure in the field of physics. He was born in Rome, Italy, on September 29, 1901. His father, Alberto Fermi, was a division head in the Ministry of Railways, while his mother, Ida de Gattis, was an elementary school teacher. Enrico had a keen interest in mathematics and physics from a young age. In 1914, he met Adolfo Amidei, a colleague of his father, who introduced him to the world of geometry. This encounter sparked Enrico's curiosity, leading him to explore the subject further.

Enrico's passion for physics continued to grow, and he came across a physics book at a local market. The book, written by Jesuit Father Andrea Caraffa, covered various scientific disciplines, including mathematics, classical mechanics, astronomy, optics, and acoustics. Enrico and his friend, Giulio, started working on projects like building gyroscopes and measuring the acceleration of Earth's gravity.

Despite facing personal tragedies, Enrico's determination and dedication to his work never wavered. He became a renowned scientist and made significant contributions to the field of physics. Many awards, concepts, and institutions are named",12,3,9,0,0.25,0.75,0.2912937856744975,60,5.0,51.897517681121826,12,0,0,180
